CID,Type,Impact,First Detected,Severity,Component,File,Function,1. ABK_Code_Type,2. ABK_Classification,ABK_Tags,3. ABK_Initial_Triaged,ABK_AutoTriage,Last Triage Comment,Checker,CWE,Comparison,Issue Kind,Last Snapshot Stream,Line Number
31290,Out-of-bounds access,High,12/03/25,Critical,Other,/code/src/game_iw9/game/ai/ai_scripted_interface.cpp,AI_BehaviorTokenShouldShoot,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,10418
31285,Out-of-bounds write,High,11/26/25,Critical,Other,/code/src/game_iw9/bgame_mp/bg_calloutmarkerping_mp.cpp,LoadCalloutMarkerPingMetaData,Production,Suspicious,,2026-01-12,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,154
31264,Overlapping buffer in memory copy,Medium,11/19/25,Critical,Other,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,GScr_MainMP_CopyPlayerDataInternal,Production,Suspicious,,2026-01-12,true,,BUFFER_SIZE,758,Absent,Various,ATVI-CoD-trunk,9793
31252,Out-of-bounds access,High,11/13/25,Critical,Other,/code/src/game_iw9/cgame/cg_snd_ents.cpp,GetSoundEntityOrientation,Production,Suspicious,,2025-11-17,true_verified,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31251,Out-of-bounds write,High,11/13/25,Critical,Other,/code/src/client_mp/cl_parse_mp.cpp,CL_ParseMP_ParseScriptableConfig,Production,Suspicious,,2025-11-17,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,4512
31250,Out-of-bounds access,High,11/13/25,Critical,Other,/code/src/game_iw9/cgame/cg_snd_physics.cpp,SND_PerformOcclusionTrace,Production,Suspicious,,2025-11-17,true_verified,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31249,Out-of-bounds access,High,11/13/25,Critical,Other,/code/src/game_iw9/cgame/cg_snd_ents.cpp,FixupAndCheckSourceValid,Production,Suspicious,,2025-11-17,true_verified,No bounds checking on index,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31214,Out-of-bounds read,High,11/03/25,Critical,Other,/code/src/game_iw9/bgame/bg_weapons_setup.cpp,BG_GetSurfacePenetrationDepth,Production,Suspicious,"BO7,BO6,2",2025-11-17,true_verified,"No bounds checking on index, devs put in assert shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,234
31212,Out-of-bounds access,High,11/03/25,Critical,Other,/code/src/game_iw9/game/g_scr_main.cpp,GScr_GetPlayerMarks,Production,Suspicious,"BO7,BO6,2",2025-11-17,false,No bounds checking on index ,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,55288
31211,Out-of-bounds read,High,11/03/25,Critical,Other,/code/src/game_iw9/bgame/bg_weapons_setup.cpp,BG_GetSurfacePenetrationDepth,Production,Suspicious,"BO7,BO6,2",2025-11-17,true_verified,"No bounds checking on index, devs put in assert shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,235
31207,Out-of-bounds read,High,11/03/25,Critical,Other,/code/src/game_iw9/bgame/bg_weapons_setup.cpp,BG_GetSurfacePenetrationDepth,Production,Suspicious,"BO7,BO6,2",2025-11-17,true_verified,"No bounds checking on index, devs put in assert shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,231
31206,Illegal address computation,High,11/03/25,Critical,Other,/code/src/gfx/r_dxr_frontend.cpp,R_DXR_Visibility_GetVisibilityBounds,Production,Suspicious,"BO7,BO6,2",2025-11-17,true_verified,no bounds checks,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31205,Out-of-bounds read,High,11/03/25,Critical,Other,/code/src/game_iw9/game/g_entity_marks.cpp,G_EntityMarks_GetMarkFlags,Production,Suspicious,"BO7,BO6,2",2025-11-17,false,No bounds checking on index,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,155
31203,Out-of-bounds access,High,11/03/25,Critical,Other,/code/src/game_iw9/playerspawn/g_scr_playerspawn.cpp,GScr_PlayerSpawn_GetBestSpawnpoint,Production,Suspicious,"BO7,BO6,2",2025-11-17,true_verified,No bounds checking on index,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1371
31202,Out-of-bounds read,High,11/03/25,Critical,Other,/code/src/game_iw9/game/g_entity_marks.cpp,G_EntityMarks_GetMarkFlags,Production,Suspicious,"BO7,BO6,2",2025-11-17,true, no bounds checking,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,135
31201,Out-of-bounds access,High,11/03/25,Critical,Other,/code/src/lui/LUI_CustomElement_OnEntitySpawner.cpp,Layout,Production,Suspicious,"BO7,BO6,2",2025-11-17,true, no bounds checking,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,298
31200,Out-of-bounds read,High,11/03/25,Critical,Other,/code/src/game_iw9/bgame/bg_weapons_setup.cpp,BG_GetSurfacePenetrationDepth,Production,Suspicious,"BO7,BO6,2",2025-11-17,true_verified,"No bounds checking on index, devs put in assert shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,230
31199,Out-of-bounds access,High,11/03/25,Critical,Other,/code/src/game_iw9/game/g_entity_marks.cpp,G_EntityMarks_GetMarkFlags,Production,Suspicious,"BO7,BO6,2",2025-11-17,true_verified,no bounds checks,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31198,Out-of-bounds access,High,11/02/25,Critical,Other,/code/src/game_iw9/cgame/cg_gameobject_wrapper.cpp,CgGameObjectWrapperInterface_Entity,Production,Suspicious,xtra,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,18
31197,Out-of-bounds access,High,11/02/25,Critical,Other,/code/src/client/cl_transients_visibility.cpp,CL_TransientsVisibility_FillVisibilityTargetBitArray,Production,Suspicious,xtra,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,101
31196,Out-of-bounds access,High,11/02/25,Critical,Other,/code/src/stream/stream_update.cpp,Stream_UpdateStreamTree_BuildTransientVisibilityWanted,Production,Suspicious,xtra,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31163,Out-of-bounds access,High,10/21/25,Critical,Other,/code/src/game_iw9/bgame/bg_customization_mp.cpp,BG_Customization_AddSkinCustomizationPackage_Simplified,Production,Suspicious,,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31159,Out-of-bounds access,High,10/21/25,Critical,Other,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,GScr_MainMP_GetPlayerDataArraySize,Production,Suspicious,,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,9940
31158,Out-of-bounds access,High,10/21/25,Critical,Other,/code/src/game_iw9/bgame/bg_customization_mp.cpp,BG_Customization_AddCustomizationPackage_Simplified,Production,Suspicious,,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,560
31145,Incorrect sizeof expression,Medium,10/21/25,Critical,Other,/code/src/qcommon/com_gsp_partition.cpp,CreatePartition,Production,Suspicious,,2025-11-03,true,,BAD_SIZEOF,467,Absent,Various,ATVI-CoD-trunk,83
31142,Out-of-bounds access,High,10/21/25,Critical,Other,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,GScr_MainMP_InitPlayerArrayData,Production,Suspicious,,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,9989
31125,Out-of-bounds access,High,10/21/25,Critical,Other,/code/src/physics/Private/Core/CG_PhysicsCharacterProxy.cpp,CG_PhysicsCharacterProxy_CreateAuthPhysicsCamera_Deferred,Production,Suspicious,,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,610
31123,Out-of-bounds write,High,10/21/25,Critical,Other,/code/src/online/ephemeral_party_service.cpp,HandlePlayAgainJoinLeaveMessage,Production,Suspicious,,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
31111,Out-of-bounds access,High,10/21/25,Critical,Other,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,GScr_MainMP_CopyPlayerData,Production,Suspicious,,2025-11-03,true,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,9915
29728,Out-of-bounds read,High,09/08/25,Critical,Other,/code/src/vfx/Particles/ParticleEmitter.cpp,DrawSetup_Volumetric,Production,Suspicious,,2025-09-08,true_verified,"No bounds checking on index, devs put in assert shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,8142
29720,Out-of-bounds read,High,09/03/25,Critical,Other,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,BG_PlayerASM_AreAnimationsLoadedForCondition,Production,Suspicious,,2025-09-08,true_verified,"No bounds checking on index, devs put in assert shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29717,Out-of-bounds access,High,09/03/25,Critical,Other,/code/src/game_iw9/bgame/asm/bg_player_asm_animation.cpp,BG_PlayerASM_AreAnimationsLoadedForCondition,Production,Suspicious,,2025-09-08,true_verified,"No bounds checking on index, devs put in assert shows concern",OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29716,Out-of-bounds write,High,08/25/25,Critical,Other,/code/src/database/db_patchmem.cpp,RewindForAsset,Production,Suspicious,,2025-09-08,false,"No bounds checking on index, devs put in assert shows concern
",OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29710,Out-of-bounds access,High,08/19/25,Critical,Other,/code/src/lui/LUI_CoD_Functions.cpp,Engine_ResetKey,Production,Suspicious,,2025-08-20,true_verified,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,7055
29696,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/game/ai/ai_pool.h,Free,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29689,Buffer not null terminated,High,08/13/25,Critical,Other,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,BG_BuildSound_AliasId,Production,Suspicious,,2025-08-13,false,,BUFFER_SIZE,170,Absent,Quality,ATVI-CoD-trunk,451
29686,Out-of-bounds read,High,08/13/25,Critical,Other,/code/src/game_iw9/playerspawn/playerspawn_frontline.cpp,PlayerSpawn_Frontline_UpdateData,Production,Suspicious,,2025-08-13,false,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29685,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,GScr_MainMP_GetPlayerData,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,9863
29684,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/bgame/bg_animset_util.cpp,PlayerAnimset_GatherCollections,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2639
29683,Out-of-bounds write,High,08/13/25,Critical,Other,/code/src/gfx/r_universe.cpp,R_Universe_BeginAccessFrame,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29681,Buffer not null terminated,High,08/13/25,Critical,Other,/code/src/game_iw9/bgame/bg_equipment_snd.cpp,BG_BuildSound_AliasId,Production,Suspicious,,2025-08-13,false,,BUFFER_SIZE,170,Absent,Quality,ATVI-CoD-trunk,436
29675,Out-of-bounds read,High,08/13/25,Critical,Other,/code/src/game_shared/cgame/common_item/cg_common_item.cpp,CG_CommonItem_GetHUDOutline,Production,Suspicious,,2025-08-13,false,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29673,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/gfx/r_water.cpp,R_Water_Tile_SubmitBuckets,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29672,Out-of-bounds write,High,08/13/25,Critical,Other,/code/src/game_iw9/playerspawn/playerspawn_frontline.cpp,PlayerSpawn_Frontline_UpdateData,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,228
29669,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/game/ai/bots/ai_bot_navigation.cpp,Bot_GetZonePathToGoal,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1556
29668,Out-of-bounds read,High,08/13/25,Critical,Other,/code/src/game_iw9/game/ai/bots/ai_bot_api.cpp,Bot_UpdateName,Production,Suspicious,,2025-08-13,false,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29657,Out-of-bounds write,High,08/13/25,Critical,Other,/code/src/game_iw9/playerspawn/playerspawn_selection.cpp,PlayerSpawn_Selection_UpdateDistanceData,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29654,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,GScr_MainMP_SetPlayerData,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,9889
29652,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/lui/LUI_Render.cpp,LUI_Render_SendCommandMarkCurrentRTTAsDirty,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1632
29651,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/bgame/bg_player_collision.cpp,PM_traceHandler,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29643,Out-of-bounds read,High,08/13/25,Critical,Other,/code/src/game_iw9/cgame_mp/cg_corpse_snapshot_mp.cpp,CG_LwCorpseManager_ConfirmReservations,Production,Suspicious,,2025-08-13,false,,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,757
29637,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/bgame/bg_animset_util.cpp,PlayerAnimset_WeaponHasStreamedAnimations,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2697
29634,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/game_iw9/bgame/bg_animset_util.cpp,PlayerAnimset_TouchWeapon,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2585
29633,Out-of-bounds access,High,08/13/25,Critical,Other,/code/src/client/import_settings_internal.cpp,ImportSettings_RequestGenericCloudFiles,Production,Suspicious,,2025-08-13,false,,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,287
29628,Out-of-bounds read,High,06/18/25,Critical,Other,/code/src/game_iw9/game/ai/ai_civilian_reaction_manager.cpp,GetEventTypeByName,Production,Suspicious,,2025-06-18,false,No bounds checking on index,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,64
29622,Out-of-bounds access,High,06/18/25,Critical,Other,/code/src/game_iw9/bgame/bg_customization_mp.cpp,BG_Customization_SetRandomCustomization,Production,Suspicious,,2025-06-18,false,no bounds checking,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1411
29621,Out-of-bounds access,High,06/18/25,Critical,Other,/code/src/game_iw9/cgame_mp/cg_servercmds_mp.cpp,CG_ServerCmdMP_ReadPlayerPersistentDataChanges_Direct_Access,Production,Suspicious,,2025-06-18,false,no bounds check on statsGroup and assert in Com_PlayerData_GetStatsBlobOffset shows dev concern,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29620,Out-of-bounds read,High,06/18/25,Critical,Other,/code/src/game_iw9/game/ai/ai_civilian_reaction_manager.cpp,GetCivEventName,Production,Suspicious,,2025-06-18,false,no bounds check,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,52
29619,Out-of-bounds write,High,06/10/25,Critical,Other,/code/src/gfx/r_nlg_atlas.cpp,AddLightGrid,Production,Suspicious,,2025-06-10,false,"when no bit is clear, firstBitClear returns length of string",OVERRUN,119,Absent,Various,ATVI-CoD-trunk,3315
29617,Out-of-bounds read,High,06/10/25,Critical,Other,/code/src/gfx/r_nlg_atlas.cpp,AddLightGrid,Production,Suspicious,,2025-06-10,false,"when no bit is clear, firstBitClear returns length of string",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,3334
29615,Out-of-bounds write,High,06/10/25,Critical,Other,/code/src/xanim/xanim.cpp,XAnim_HitDet_GetTreeParametersInfo,Production,Suspicious,,2025-06-10,false,value is indeed 3 floats (bg_hitdet_logging.h),OVERRUN,119,Absent,Various,ATVI-CoD-trunk,20431
29613,Untrusted pointer write,Medium,06/03/25,Critical,Other,/code/src/peripherals/streamdeck/streamdeck.cpp,StreamDeck_HandleRequest,Production,Suspicious,,2025-06-03,false,"The data from the socket is unsanitized so if it is from an untrusted source, it could be a problem",TAINTED_SCALAR,129,Absent,Various,ATVI-CoD-trunk,248
29587,Out-of-bounds read,High,05/28/25,Critical,Other,/code/src/qcommon/com_gsp_partition.cpp,MoveObjectToPosition,Production,Suspicious,,2025-05-28,false,no bounds check and assert shows dev concerns,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,2828
29586,Out-of-bounds read,High,05/28/25,Critical,Other,/code/src/dw/dwEnvironment.cpp,dwGetEnvironmentFlavorForTitleId,Production,Suspicious,,2025-05-28,false,No bounds check,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,793
29582,Out-of-bounds access,High,05/28/25,Critical,Other,/code/src/client/cl_player_data.cpp,CL_PlayerData_UpdateDDLChecksum,Production,Suspicious,,2025-05-28,false,no bounds check and assert in Com_PlayerData_GetPrimaryStatsGroup( shows concern,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,145
29580,Illegal address computation,High,05/28/25,Critical,Other,/code/src/dw/dwEnvironment.cpp,dwRegisterEnvironmentDvars,Production,Suspicious,,2025-05-28,false,"no bounds check on flavor group
",OVERRUN,119,Absent,Various,ATVI-CoD-trunk,675
29579,Out-of-bounds read,High,05/28/25,Critical,Other,/code/src/qcommon/com_gsp_partition.cpp,RemoveObject,Production,Suspicious,,2025-05-28,false,No bounds check,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,2745
29578,Out-of-bounds read,High,05/28/25,Critical,Other,/code/src/dw/dwEnvironment.cpp,dwGetTitleIdsForFlavor,Production,Suspicious,,2025-05-28,false,"no bounds check on flavor group
",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,735
29577,Out-of-bounds read,High,05/28/25,Critical,Other,/code/src/qcommon/com_gsp_partition.cpp,RemoveAllObjectsInCategory,Production,Suspicious,,2025-05-28,false,"'No bounds checking on handleCategory, devs put in assert on category being in bounds shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,2784
29576,Out-of-bounds access,High,05/28/25,Critical,Other,/code/src/lui/LUI_CoD_PlayerData.cpp,LUI_CoD_PlayerData_TriggerCallbackOnPlayerDataWrite,Production,Suspicious,,2025-05-28,false,no bounds check on statsGroupStart and assert in Com_PlayerData_GetStatsBlobOffset shows dev concern,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29553,Out-of-bounds write,High,05/21/25,Critical,Other,/code/src/gfx/r_taskgraph_compile.cpp,R_TG_ReserveResourceMemory,Production,Suspicious,,2025-05-28,false,No bounds check,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1422
29552,Out-of-bounds write,High,05/21/25,Critical,Other,/code/src/gfx/r_lightmap_atlas.cpp,AllocLightmap,Production,Suspicious,,2025-05-28,false,no bounds check and assert shows concern,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2518
29548,Out-of-bounds read,High,05/14/25,Critical,Other,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,AddLGVBlock,Production,Suspicious,,2025-05-15,false,"No bounds checking, devs put in asserts in AllocLGVBlock shows concern",OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29545,Buffer not null terminated,High,05/14/25,Critical,Other,/code/src/online/creator/online_creator_dw.cpp,GetCreatorContext,Production,Suspicious,,2025-05-15,false,,BUFFER_SIZE,170,Absent,Quality,ATVI-CoD-trunk,145
29544,Out-of-bounds access,High,05/14/25,Critical,Other,/code/src/stream/stream_update.cpp,Stream_CombineDistanceImageToParts_Regular,Production,Suspicious,,2025-05-15,false,No bounds checking,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29543,Out-of-bounds write,High,05/14/25,Critical,Other,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,AllocLGVBlock,Production,Suspicious,,2025-05-15,false,"No bounds checking, devs put in asserts show concern",OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2140
29540,Out-of-bounds access,High,05/14/25,Critical,Other,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,AddLGVBlock,Production,Suspicious,,2025-05-15,false,no bounds checks and asserts in AllocLGVBlock show concern,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29532,Out-of-bounds write,High,05/14/25,Critical,Other,/code/src/gfx/r_secondary_lighting.cpp,AddLGVBlock,Production,Suspicious,,2025-05-15,false,"No bounds checking, devs put in asserts show concern",OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29508,Out-of-bounds write,High,05/07/25,Critical,Other,/code/src/gfx/r_secondary_lighting.cpp,AddLightmaps,Production,Suspicious,,2025-05-13,false,No bounds check and assert shows concern,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29467,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/online/online_userprofiles/online_userprofiles_ddlutils.cpp,ReadWeaponsCustomizationFromProfile,Production,Suspicious,,2025-04-30,false,GetActiveGameModeBlobType returns a value of type UserProfileType which can be up to 9 but 9 is UserProfileType::INVALID so that would exit at line 292. So max is 8 at this point and bounds are not checked.,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29462,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/game_iw9/cgame_mp/cg_weapons_mp.cpp,BulletImpactEffects,Production,Suspicious,,2025-05-01,false,no bounds check,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29457,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/game_iw9/game/ai/ai_civilian_manager.cpp,AIScr_SetCivAutomaticStateTransitionSettings,Production,Suspicious,getindex,2025-05-12,false,GetStateByName will return count if no matches and there are no bounds checks,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,772
29455,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/gfx/r_material_pso.cpp,Material_CreateComputePipelineState,Production,Suspicious,,2025-05-12,false,no bounds check and assert shows concern.,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,4029
29453,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/game_iw9/bgame/bg_execution_util.cpp,BG_Execution_GetStreamCollectionForExecutionAnimType,Production,Suspicious,,2025-05-08,false,no bounds check and assert shows concern,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,2640
29427,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/client/cl_transients_visibility.cpp,CL_TransientsVisibility_FillVisibilityBitArray,Production,Suspicious,,2025-05-09,false,"The for loop will only execute when using CLIENT_SYSTEM, where MAX_LOCAL_CLIENTS and cl_maxLocalClients may be higher than 1. In this case, there is an assert in CL_TransientsVisibility_GetVisibilityHintBitArray to check the array count but could be a problem when asserts are compiled out of the release version.",OVERRUN,119,Absent,Various,ATVI-CoD-trunk,75
29420,Out-of-bounds access,High,04/29/25,Critical,Other,/code/src/game_iw9/game/ai/ai_civilian_manager.cpp,AIScr_SetCivPropagationSettings,Production,Suspicious,getindex,2025-05-12,false,GetStateByName will return count if no matches and there are no bounds checks,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,706
